CPP,Indicator,Type,Year,value
North Ayrshire,Healthy Birthweight,Raw data,2014/15,88.84168625395819
North Lanarkshire,Healthy Birthweight,Raw data,2014/15,89.40479868000979
Orkney Islands,Healthy Birthweight,Raw data,2014/15,89.45332870200139
Perth and Kinross,Healthy Birthweight,Raw data,2014/15,89.15384879085764
Renfrewshire,Healthy Birthweight,Raw data,2014/15,90.26027887431506
Scotland,Healthy Birthweight,Raw data,2014/15,89.81387406031091
Scottish Borders,Healthy Birthweight,Raw data,2014/15,89.68708743801771
Shetland Islands,Healthy Birthweight,Raw data,2014/15,88.97814207650272
South Ayrshire,Healthy Birthweight,Raw data,2014/15,89.38043538662221
South Lanarkshire,Healthy Birthweight,Raw data,2014/15,89.89029693547697
Stirling,Healthy Birthweight,Raw data,2014/15,88.15319304327937
West Dunbartonshire,Healthy Birthweight,Raw data,2014/15,89.52894900557709
West Lothian,Healthy Birthweight,Raw data,2014/15,90.56091291728733
Aberdeen City,Healthy Birthweight,Raw data,2015/16,90.39441767242322
Aberdeenshire,Healthy Birthweight,Raw data,2015/16,90.53570837890165
Angus,Healthy Birthweight,Raw data,2015/16,90.12367808221079
Argyll and Bute,Healthy Birthweight,Raw data,2015/16,89.82211887243771
Clackmannanshire,Healthy Birthweight,Raw data,2015/16,89.80077570830996
Dumfries and Galloway,Healthy Birthweight,Raw data,2015/16,90.77953791532828
Dundee City,Healthy Birthweight,Raw data,2015/16,89.76663224749888
East Ayrshire,Healthy Birthweight,Raw data,2015/16,89.80541548391717
East Dunbartonshire,Healthy Birthweight,Raw data,2015/16,88.92856229345291
East Lothian,Healthy Birthweight,Raw data,2015/16,90.13180167933906
East Renfrewshire,Healthy Birthweight,Raw data,2015/16,89.24744028682666
"Edinburgh, City of",Healthy Birthweight,Raw data,2015/16,90.72627726839498
Eilean Siar,Healthy Birthweight,Raw data,2015/16,88.4895531283093
Falkirk,Healthy Birthweight,Raw data,2015/16,89.89072235863723
Fife,Healthy Birthweight,Raw data,2015/16,89.39142068990732
Glasgow City,Healthy Birthweight,Raw data,2015/16,90.21395027809224
Highland,Healthy Birthweight,Raw data,2015/16,89.87991798311089
Inverclyde,Healthy Birthweight,Raw data,2015/16,91.28199598258418
Midlothian,Healthy Birthweight,Raw data,2015/16,89.83965382621574
Moray,Healthy Birthweight,Raw data,2015/16,89.34128444700218
North Ayrshire,Healthy Birthweight,Raw data,2015/16,89.3388978332846
North Lanarkshire,Healthy Birthweight,Raw data,2015/16,89.84697606873148
Orkney Islands,Healthy Birthweight,Raw data,2015/16,90.58432754962787
Perth and Kinross,Healthy Birthweight,Raw data,2015/16,88.64742916785963
Renfrewshire,Healthy Birthweight,Raw data,2015/16,90.19051236506358
Scotland,Healthy Birthweight,Raw data,2015/16,89.99900134571443
Scottish Borders,Healthy Birthweight,Raw data,2015/16,90.11838421834534
Shetland Islands,Healthy Birthweight,Raw data,2015/16,89.3787680545935
South Ayrshire,Healthy Birthweight,Raw data,2015/16,88.89708917719072
South Lanarkshire,Healthy Birthweight,Raw data,2015/16,90.1684345713018
Stirling,Healthy Birthweight,Raw data,2015/16,88.38176188311472
West Dunbartonshire,Healthy Birthweight,Raw data,2015/16,89.54122838990764
West Lothian,Healthy Birthweight,Raw data,2015/16,90.5864243723393
Aberdeen City,Healthy Birthweight,Imputed,2016/17,90.3544234493794
Aberdeenshire,Healthy Birthweight,Imputed,2016/17,91.02315911270675
Angus,Healthy Birthweight,Imputed,2016/17,90.42516755258372
Argyll and Bute,Healthy Birthweight,Imputed,2016/17,91.36761777562809
Clackmannanshire,Healthy Birthweight,Imputed,2016/17,89.85468664533175
Dumfries and Galloway,Healthy Birthweight,Imputed,2016/17,90.34730031531147
Dundee City,Healthy Birthweight,Imputed,2016/17,89.85156127102952
East Ayrshire,Healthy Birthweight,Imputed,2016/17,89.88169834590671
East Dunbartonshire,Healthy Birthweight,Imputed,2016/17,89.54060177456081
East Lothian,Healthy Birthweight,Imputed,2016/17,89.79145935882279
East Renfrewshire,Healthy Birthweight,Imputed,2016/17,90.06915078265881
"Edinburgh, City of",Healthy Birthweight,Imputed,2016/17,90.59096615288718
Eilean Siar,Healthy Birthweight,Imputed,2016/17,88.42293546642408
Falkirk,Healthy Birthweight,Imputed,2016/17,90.21797550347829
Fife,Healthy Birthweight,Imputed,2016/17,89.41436256142948
Glasgow City,Healthy Birthweight,Imputed,2016/17,90.26674087137354
Highland,Healthy Birthweight,Imputed,2016/17,89.98516794742643
Inverclyde,Healthy Birthweight,Imputed,2016/17,90.07730413544465
Midlothian,Healthy Birthweight,Imputed,2016/17,90.09316820240223
Moray,Healthy Birthweight,Imputed,2016/17,88.75252090221875
North Ayrshire,Healthy Birthweight,Imputed,2016/17,89.39051852933572
North Lanarkshire,Healthy Birthweight,Imputed,2016/17,90.1799206409372
Orkney Islands,Healthy Birthweight,Imputed,2016/17,90.19391366486029
Perth and Kinross,Healthy Birthweight,Imputed,2016/17,88.82905956163269
Renfrewshire,Healthy Birthweight,Imputed,2016/17,90.20074855506982
Scotland,Healthy Birthweight,Imputed,2016/17,90.06198808561335
Scottish Borders,Healthy Birthweight,Imputed,2016/17,90.44915961636178
Shetland Islands,Healthy Birthweight,Imputed,2016/17,89.10603328519363
South Ayrshire,Healthy Birthweight,Imputed,2016/17,88.88057041475263
South Lanarkshire,Healthy Birthweight,Imputed,2016/17,90.025847259243
Stirling,Healthy Birthweight,Imputed,2016/17,88.91243075045918
West Dunbartonshire,Healthy Birthweight,Imputed,2016/17,89.89035808317811
West Lothian,Healthy Birthweight,Imputed,2016/17,90.1631636621147
Aberdeen City,Primary 1 Body Mass Index,Raw data,2006/07,NA
Aberdeenshire,Primary 1 Body Mass Index,Raw data,2006/07,NA
Angus,Primary 1 Body Mass Index,Raw data,2006/07,84.35184674329501
Argyll and Bute,Primary 1 Body Mass Index,Raw data,2006/07,NA
Clackmannanshire,Primary 1 Body Mass Index,Raw data,2006/07,80.68231338742393
Dumfries and Galloway,Primary 1 Body Mass Index,Raw data,2006/07,83.9454463352922
Dundee City,Primary 1 Body Mass Index,Raw data,2006/07,82.11953651021447
East Ayrshire,Primary 1 Body Mass Index,Raw data,2006/07,NA
East Dunbartonshire,Primary 1 Body Mass Index,Raw data,2006/07,NA
East Lothian,Primary 1 Body Mass Index,Raw data,2006/07,83.48181885985154
East Renfrewshire,Primary 1 Body Mass Index,Raw data,2006/07,NA
"Edinburgh, City of",Primary 1 Body Mass Index,Raw data,2006/07,82.88744320389127
Eilean Siar,Primary 1 Body Mass Index,Raw data,2006/07,82.24236951605609
Falkirk,Primary 1 Body Mass Index,Raw data,2006/07,85.0809268292683
Fife,Primary 1 Body Mass Index,Raw data,2006/07,81.86556223736545
Glasgow City,Primary 1 Body Mass Index,Raw data,2006/07,NA
Highland,Primary 1 Body Mass Index,Raw data,2006/07,NA
Inverclyde,Primary 1 Body Mass Index,Raw data,2006/07,NA
Midlothian,Primary 1 Body Mass Index,Raw data,2006/07,82.07618813111736
Moray,Primary 1 Body Mass Index,Raw data,2006/07,NA
North Ayrshire,Primary 1 Body Mass Index,Raw data,2006/07,NA
North Lanarkshire,Primary 1 Body Mass Index,Raw data,2006/07,84.00883571260142
Orkney Islands,Primary 1 Body Mass Index,Raw data,2006/07,NA
Perth and Kinross,Primary 1 Body Mass Index,Raw data,2006/07,85.8989166027144
Renfrewshire,Primary 1 Body Mass Index,Raw data,2006/07,85.296
Scotland,Primary 1 Body Mass Index,Raw data,2006/07,83.72782604849824
Scottish Borders,Primary 1 Body Mass Index,Raw data,2006/07,83.61932170922147
Shetland Islands,Primary 1 Body Mass Index,Raw data,2006/07,NA
